product_name,product_price,product_image,product_url
PACK OF RHINESTONE HAIR CLIPS,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4736/239/330/3/w/560/4736239330_1_1_1.jpg?ts=1572430144060,https://www.zara.com/in/en/pack-of-rhinestone-hair-clips-p04736239.html
CHECK SCARF WITH FRINGE,"₹ 2,290.00",//static.zara.net/photos///2019/I/0/1/p/0653/230/330/3/w/560/0653230330_1_1_1.jpg?ts=1572430139155,https://www.zara.com/in/en/check-scarf-with-fringe-p00653230.html
HERRINGBONE CHECK NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/3920/250/737/2/w/560/3920250737_1_1_1.jpg?ts=1573038469642,https://www.zara.com/in/en/herringbone-check-nautical-cap-p03920250.html
BUGS BUNNY © WARNER BROS. INC. TOTE BAG,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4644/412/500/2/w/560/4644412500_1_1_1.jpg?ts=1573038462949,https://www.zara.com/in/en/bugs-bunny-%C2%A9-warner-bros--inc--tote-bag-p04644412.html
CAT-EYE SUNGLASSES,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/4646/002/700/2/w/560/4646002700_1_1_1.jpg?ts=1565774271871,https://www.zara.com/in/en/cat-eye-sunglasses-p04646002.html
MICKEY MOUSE ©DISNEY TOTE BAG,"₹ 1,290.00",//static.zara.net/photos///2019/I/0/1/p/4644/409/807/2/w/560/4644409807_1_1_1.jpg?ts=1573038471456,https://www.zara.com/in/en/mickey-mouse-%C2%A9disney-tote-bag-p04644409.html
NAUTICAL CAP,"₹ 1,790.00",//static.zara.net/photos///2019/I/0/1/p/3920/252/800/2/w/560/3920252800_1_1_1.jpg?ts=1573038476403,https://www.zara.com/in/en/nautical-cap-p03920252.html
SPECIAL EDITION DOTTED MESH GLOVES,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/3920/221/800/2/w/560/3920221800_1_1_1.jpg?ts=1564998274946,https://www.zara.com/in/en/special-edition-dotted-mesh-gloves-p03920221.html
BELT WITH LINKS,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1736/237/800/2/w/560/1736237800_1_1_1.jpg?ts=1571919757133,https://www.zara.com/in/en/belt-with-links-p01736237.html
BELT WITH TEXTURED BUCKLE,"₹ 1,590.00",//static.zara.net/photos///2019/I/0/1/p/1736/249/800/2/w/560/1736249800_1_1_1.jpg?ts=1571310116616,https://www.zara.com/in/en/belt-with-textured-buckle-p01736249.html
